Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,storage_type,Second_Price,Inches,ScreenResolution,Cpu,Gpu,Memory,storage_capacity,log_price,GHz
Apple,Ultrabook,8,1.37,670.96,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac,ssd,71378.6832,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,128GB SSD,128,6.508709522676156,2.3
HP,Notebook,8,1.86,287.98,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others,ssd,30636,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD,256,5.6628910332801246,2.5
Apple,Ultrabook,16,1.83,1270.84,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,ssd,135195.33599999998,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,AMD Radeon Pro 455,512GB SSD,512,7.147433378135437,2.7
Apple,Ultrabook,8,1.37,903.3,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac,ssd,96095.80799999999,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,256GB SSD,256,6.806054724155798,3.1
Acer,Notebook,4,2.1,200.33,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows,hdd,21312,15.6,1366x768,AMD A9-Series 9420 3GHz,AMD Radeon R5,500GB HDD,500,5.299966006793561,3
Asus,Ultrabook,16,1.3,748.74,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows,ssd,79653.59999999999,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,512GB SSD,512,6.618391793747818,1.8
Acer,Ultrabook,8,1.6,385.64,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows,ssd,41025.6,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,5.954904291796179,1.6
HP,Notebook,4,1.86,197.28,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Others,hdd,20986.992,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD,500,5.284624039416034,2.5
HP,Notebook,4,1.86,172.78,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others,hdd,18381.0672,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD,500,5.152019108930738,2
Apple,Ultrabook,16,1.83,1222.02,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac,ssd,130001.6016,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,AMD Radeon Pro 555,256GB SSD,256,7.10826050620972,2.8
Dell,Notebook,4,2.2,249.87,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows,ssd,26581.391999999996,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,256GB SSD,256,5.520940782615359,2
Apple,Ultrabook,8,0.92,632.25,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac,ssd,67260.672,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,Intel HD Graphics 615,256GB SSD,256,6.449284885550075,1.2
Apple,Ultrabook,8,1.37,760.54,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac,ssd,80908.344,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,256GB SSD,256,6.634028707291849,2.3
Dell,Notebook,8,2.2,373.12,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,ssd,39693.6,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,256GB SSD,256,5.921900083722073,2.7
Apple,Ultrabook,16,1.83,1431.38,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,ssd,152274.24,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,AMD Radeon Pro 560,512GB SSD,512,7.266394292872106,2.9
Lenovo,Notebook,8,2.2,249.92,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others,hdd,26586.719999999998,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 940MX,1TB HDD,1000,5.521140866651321,2.4
Dell,Ultrabook,8,1.22,490.31,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,ssd,52161.119999999995,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,128GB SSD,128,6.1950378441253156,1.6
Lenovo,Gaming,8,2.5,500.33,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,both,53226.72,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD,1128,6.215267880717977,2.5
HP,Notebook,4,1.86,129.21,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others,hdd,13746.24,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,500GB HDD,500,4.861438987734129,1.5
Dell,2 in 1 Convertible,8,1.62,410.18,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,ssd,43636.32,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD,256,6.016596087745587,1.6
HP,Ultrabook,8,1.91,330.05,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,ssd,35111.52,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel HD Graphics 620,256GB SSD,256,5.79924415813478,1.8
